source,dest,status,reason
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\data.csv.tmp,,SKIPPED,extension_filter
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\image.png,,SKIPPED,extension_filter
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\standard_1.csv,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\standard_1.csv,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\standard_2.json,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\standard_2.json,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\standard_3.txt,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\standard_3.txt,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\standard_4.xlsx,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\standard_4.xlsx,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\subdir_A,,SKIPPED,not_file
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\subdir_B,,SKIPPED,not_file
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\suffix_1.csv_PRO_20250101,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\suffix_1.csv_PRO_20250101,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\suffix_2.json.BAK,,SKIPPED,extension_filter
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\suffix_3.txt_old,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\suffix_3.txt_old,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\suffix_4.csv_v2,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\suffix_4.csv_v2,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\subdir_A\nested_1.csv,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\nested_1.csv,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\subdir_A\nested_2.xml,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\nested_2.xml,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\subdir_B\deep,,SKIPPED,not_file
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\subdir_B\deep\deep_1.csv_ARCHIVE,C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\output_B_move\deep_1.csv_ARCHIVE,OK,move
C:\Users\Administrador\Desktop\Compare_murex_interface\tests\mover_test_data\input\subdir_B\deep\deep_2.log,,SKIPPED,extension_filter
